meme_id,timestep,agent1,agent2
254,8,30.0,33.0
254,8,30.0,34.0
254,8,30.0,35.0
254,8,30.0,36.0
254,8,30.0,37.0
254,8,30.0,38.0
254,8,30.0,39.0
136,8,39.0,29.0
259,8,0.0,1.0
259,8,0.0,2.0
259,8,0.0,3.0
259,8,0.0,4.0
259,8,0.0,5.0
259,8,0.0,6.0
259,8,0.0,7.0
259,8,0.0,8.0
259,8,0.0,9.0
262,9,19.0,9.0
265,9,0.0,1.0
265,9,0.0,2.0
265,9,0.0,3.0
265,9,0.0,4.0
265,9,0.0,5.0
265,9,0.0,6.0
265,9,0.0,7.0
265,9,0.0,8.0
265,9,0.0,9.0
270,9,40.0,41.0
270,9,40.0,42.0
270,9,40.0,43.0
270,9,40.0,44.0
270,9,40.0,45.0
270,9,40.0,46.0
270,9,40.0,47.0
270,9,40.0,48.0
270,9,40.0,49.0
204,9,49.0,39.0
275,9,30.0,31.0
275,9,30.0,32.0
275,9,30.0,33.0
275,9,30.0,34.0
275,9,30.0,35.0
275,9,30.0,36.0
275,9,30.0,37.0
275,9,30.0,38.0
275,9,30.0,39.0
210,9,49.0,39.0
279,9,20.0,21.0
279,9,20.0,22.0
279,9,20.0,23.0
279,9,20.0,24.0
279,9,20.0,25.0
279,9,20.0,26.0
279,9,20.0,27.0
279,9,20.0,28.0
279,9,20.0,29.0
280,9,10.0,11.0
280,9,10.0,12.0
280,9,10.0,13.0
280,9,10.0,14.0
280,9,10.0,15.0
280,9,10.0,16.0
280,9,10.0,17.0
280,9,10.0,18.0
280,9,10.0,19.0
282,9,40.0,41.0
282,9,40.0,42.0
282,9,40.0,43.0
282,9,40.0,44.0
282,9,40.0,45.0
282,9,40.0,46.0
282,9,40.0,47.0
282,9,40.0,48.0
282,9,40.0,49.0
287,10,1l,5.0
287,10,1l,7.0
287,10,1l,16.0
287,10,1l,47.0
287,10,1l,0h
30,10,1l,5.0
30,10,1l,7.0
30,10,1l,16.0
30,10,1l,47.0
30,10,1l,0h
293,10,29.0,19.0
16,10,1l,5.0
16,10,1l,7.0
16,10,1l,16.0
16,10,1l,47.0
16,10,1l,0h
299,10,0h,9.0
299,10,0h,14.0
299,10,0h,19.0
299,10,0h,34.0
299,10,0h,1l
41,10,1l,5.0
41,10,1l,7.0
41,10,1l,16.0
41,10,1l,47.0
41,10,1l,0h
307,11,40.0,41.0
307,11,40.0,42.0
