agent_id,meme_id,reshared_by_agent,timestep
9.0,92,19.0,3
1.0,95,0.0,3
2.0,95,0.0,3
3.0,95,0.0,3
4.0,95,0.0,3
5.0,95,0.0,3
6.0,95,0.0,3
7.0,95,0.0,3
8.0,95,0.0,3
9.0,95,0.0,3
31.0,102,30.0,3
32.0,102,30.0,3
33.0,102,30.0,3
34.0,102,30.0,3
35.0,102,30.0,3
36.0,102,30.0,3
37.0,102,30.0,3
38.0,102,30.0,3
39.0,102,30.0,3
1.0,106,0.0,4
2.0,106,0.0,4
3.0,106,0.0,4
4.0,106,0.0,4
5.0,106,0.0,4
6.0,106,0.0,4
7.0,106,0.0,4
8.0,106,0.0,4
9.0,106,0.0,4
11.0,68,10.0,4
12.0,68,10.0,4
13.0,68,10.0,4
14.0,68,10.0,4
15.0,68,10.0,4
16.0,68,10.0,4
17.0,68,10.0,4
18.0,68,10.0,4
19.0,68,10.0,4
11.0,68,10.0,4
12.0,68,10.0,4
13.0,68,10.0,4
14.0,68,10.0,4
15.0,68,10.0,4
16.0,68,10.0,4
17.0,68,10.0,4
18.0,68,10.0,4
19.0,68,10.0,4
19.0,6,29.0,4
19.0,110,29.0,4
29.0,115,39.0,4
3.0,68,1h,4
19.0,68,1h,4
27.0,68,1h,4
29.0,68,1h,4
47.0,68,1h,4
0i,68,1h,4
6.0,120,0i,4
10.0,120,0i,4
19.0,120,0i,4
21.0,120,0i,4
22.0,120,0i,4
27.0,120,0i,4
35.0,120,0i,4
44.0,120,0i,4
47.0,120,0i,4
1h,120,0i,4
11.0,68,10.0,4
12.0,68,10.0,4
13.0,68,10.0,4
14.0,68,10.0,4
15.0,68,10.0,4
16.0,68,10.0,4
17.0,68,10.0,4
18.0,68,10.0,4
19.0,68,10.0,4
21.0,125,20.0,5
22.0,125,20.0,5
23.0,125,20.0,5
24.0,125,20.0,5
25.0,125,20.0,5
26.0,125,20.0,5
27.0,125,20.0,5
28.0,125,20.0,5
29.0,125,20.0,5
1.0,126,0.0,5
2.0,126,0.0,5
3.0,126,0.0,5
4.0,126,0.0,5
5.0,126,0.0,5
6.0,126,0.0,5
7.0,126,0.0,5
8.0,126,0.0,5
9.0,126,0.0,5
31.0,128,30.0,5
32.0,128,30.0,5
33.0,128,30.0,5
34.0,128,30.0,5
35.0,128,30.0,5
36.0,128,30.0,5
37.0,128,30.0,5
38.0,128,30.0,5
39.0,128,30.0,5
39.0,45,49.0,5
19.0,115,29.0,5
19.0,133,29.0,5
31.0,140,30.0,5
32.0,140,30.0,5
33.0,140,30.0,5
34.0,140,30.0,5
35.0,140,30.0,5
36.0,140,30.0,5
37.0,140,30.0,5
38.0,140,30.0,5
39.0,140,30.0,5
39.0,144,49.0,5
11.0,120,10.0,6
12.0,120,10.0,6
13.0,120,10.0,6
14.0,120,10.0,6
15.0,120,10.0,6
16.0,120,10.0,6
17.0,120,10.0,6
18.0,120,10.0,6
19.0,120,10.0,6
6.0,152,0i,6
10.0,152,0i,6
19.0,152,0i,6
21.0,152,0i,6
22.0,152,0i,6
27.0,152,0i,6
35.0,152,0i,6
44.0,152,0i,6
47.0,152,0i,6
1h,152,0i,6
39.0,58,49.0,6
11.0,161,10.0,6
12.0,161,10.0,6
13.0,161,10.0,6
14.0,161,10.0,6
15.0,161,10.0,6
16.0,161,10.0,6
17.0,161,10.0,6
18.0,161,10.0,6
19.0,161,10.0,6
3.0,68,1h,6
19.0,68,1h,6
27.0,68,1h,6
29.0,68,1h,6
47.0,68,1h,6
0i,68,1h,6
31.0,166,30.0,6
32.0,166,30.0,6
33.0,166,30.0,6
34.0,166,30.0,6
35.0,166,30.0,6
36.0,166,30.0,6
37.0,166,30.0,6
38.0,166,30.0,6
39.0,166,30.0,6
6.0,171,0i,6
10.0,171,0i,6
19.0,171,0i,6
21.0,171,0i,6
22.0,171,0i,6
27.0,171,0i,6
35.0,171,0i,6
44.0,171,0i,6
47.0,171,0i,6
1h,171,0i,6
1.0,172,0.0,6
2.0,172,0.0,6
3.0,172,0.0,6
4.0,172,0.0,6
5.0,172,0.0,6
6.0,172,0.0,6
7.0,172,0.0,6
8.0,172,0.0,6
9.0,172,0.0,6
11.0,175,10.0,6
12.0,175,10.0,6
13.0,175,10.0,6
14.0,175,10.0,6
15.0,175,10.0,6
16.0,175,10.0,6
17.0,175,10.0,6
18.0,175,10.0,6
19.0,175,10.0,6
1.0,177,0.0,6
2.0,177,0.0,6
3.0,177,0.0,6
4.0,177,0.0,6
5.0,177,0.0,6
6.0,177,0.0,6
7.0,177,0.0,6
8.0,177,0.0,6
9.0,177,0.0,6
1.0,181,0.0,7
2.0,181,0.0,7
3.0,181,0.0,7
4.0,181,0.0,7
5.0,181,0.0,7
6.0,181,0.0,7
7.0,181,0.0,7
8.0,181,0.0,7
9.0,181,0.0,7
3.0,120,1h,7
19.0,120,1h,7
27.0,120,1h,7
29.0,120,1h,7
47.0,120,1h,7
